[16:32:17.943] [INFO] ScreenCaptureService onCreate
[16:32:17.945] [INFO] onStartCommand engine=NCNN resultCode=-1
[16:32:17.991] [INFO] Model loaded: NCNN
[16:32:18.007] [INFO] Detection started, resolution=1264x2780
[16:32:34.572] [PERF] latency=62ms, fps=14.0, objects=0
[16:32:34.651] [PERF] latency=58ms, fps=14.0, objects=0
[16:32:34.737] [PERF] latency=61ms, fps=14.0, objects=0
[16:32:34.820] [PERF] latency=60ms, fps=14.0, objects=0
[16:32:34.898] [PERF] latency=57ms, fps=14.0, objects=0
[16:32:34.982] [PERF] latency=56ms, fps=13.0, objects=0
[16:32:35.059] [PERF] latency=50ms, fps=13.0, objects=0
[16:32:35.149] [PERF] latency=57ms, fps=13.0, objects=0
[16:32:35.232] [PERF] latency=58ms, fps=13.0, objects=0
[16:32:35.316] [PERF] latency=58ms, fps=13.0, objects=0
[16:32:35.399] [PERF] latency=58ms, fps=13.0, objects=0
[16:32:35.535] [PERF] latency=109ms, fps=12.0, objects=0
[16:32:35.635] [PERF] latency=51ms, fps=12.0, objects=0
[16:32:35.734] [PERF] latency=69ms, fps=12.0, objects=0
[16:32:35.832] [PERF] latency=71ms, fps=11.0, objects=0
[16:32:35.919] [PERF] latency=61ms, fps=11.0, objects=0
[16:32:36.032] [PERF] latency=87ms, fps=11.0, objects=0
[16:32:36.122] [PERF] latency=65ms, fps=11.0, objects=0
[16:32:36.205] [PERF] latency=62ms, fps=11.0, objects=0
[16:32:36.299] [PERF] latency=68ms, fps=11.0, objects=0
[16:32:36.384] [PERF] latency=60ms, fps=11.0, objects=0
[16:32:36.462] [PERF] latency=58ms, fps=11.0, objects=0
[16:32:36.553] [PERF] latency=65ms, fps=11.0, objects=0
[16:32:36.641] [PERF] latency=66ms, fps=11.0, objects=0
[16:32:36.739] [PERF] latency=64ms, fps=11.0, objects=0
[16:32:36.829] [PERF] latency=59ms, fps=12.0, objects=0
[16:32:36.927] [PERF] latency=69ms, fps=11.0, objects=0
[16:32:37.007] [PERF] latency=54ms, fps=12.0, objects=0
[16:32:37.091] [PERF] latency=54ms, fps=12.0, objects=0
[16:32:37.174] [PERF] latency=55ms, fps=12.0, objects=0
[16:32:37.257] [PERF] latency=53ms, fps=12.0, objects=0
[16:32:37.352] [PERF] latency=64ms, fps=12.0, objects=0
[16:32:37.437] [PERF] latency=64ms, fps=12.0, objects=0
[16:32:37.533] [PERF] latency=63ms, fps=12.0, objects=0
[16:32:37.612] [PERF] latency=58ms, fps=12.0, objects=0
[16:32:37.690] [PERF] latency=62ms, fps=12.0, objects=0
[16:32:37.776] [PERF] latency=57ms, fps=12.0, objects=0
[16:32:37.865] [PERF] latency=62ms, fps=12.0, objects=0
[16:32:37.946] [PERF] latency=62ms, fps=12.0, objects=0
[16:32:38.025] [PERF] latency=58ms, fps=12.0, objects=0
[16:32:38.112] [PERF] latency=56ms, fps=12.0, objects=0
[16:32:38.198] [PERF] latency=62ms, fps=12.0, objects=0
[16:32:38.275] [PERF] latency=56ms, fps=12.0, objects=0
[16:32:38.362] [PERF] latency=61ms, fps=12.0, objects=0
[16:32:38.449] [PERF] latency=64ms, fps=12.0, objects=0
[16:32:38.537] [PERF] latency=64ms, fps=12.0, objects=0
[16:32:38.632] [PERF] latency=63ms, fps=12.0, objects=0
[16:32:38.705] [PERF] latency=54ms, fps=12.0, objects=0
[16:32:38.802] [PERF] latency=68ms, fps=12.0, objects=0
[16:32:38.891] [PERF] latency=57ms, fps=12.0, objects=0
[16:32:38.965] [PERF] latency=48ms, fps=12.0, objects=0
[16:32:39.056] [PERF] latency=72ms, fps=12.0, objects=0
[16:32:39.139] [PERF] latency=55ms, fps=12.0, objects=0
[16:32:39.225] [PERF] latency=57ms, fps=12.0, objects=0
[16:32:39.317] [PERF] latency=64ms, fps=12.0, objects=0
[16:32:39.416] [PERF] latency=66ms, fps=12.0, objects=0
[16:32:39.516] [PERF] latency=62ms, fps=12.0, objects=0
[16:32:39.608] [PERF] latency=58ms, fps=12.0, objects=0
[16:32:39.698] [PERF] latency=65ms, fps=12.0, objects=0
[16:32:39.795] [PERF] latency=61ms, fps=12.0, objects=0
[16:32:39.882] [PERF] latency=67ms, fps=12.0, objects=0
[16:32:39.970] [PERF] latency=69ms, fps=11.0, objects=0
[16:32:40.049] [PERF] latency=50ms, fps=12.0, objects=0
[16:32:40.145] [PERF] latency=62ms, fps=11.0, objects=0
[16:32:40.240] [PERF] latency=74ms, fps=11.0, objects=0
[16:32:40.333] [PERF] latency=70ms, fps=11.0, objects=0
[16:32:40.414] [PERF] latency=49ms, fps=12.0, objects=0
